Time,Occupant Number,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,INDOOR Mean Radiant Temp.,Predicted Mean Vote (PMV)
735083.1875,1.0,24.066829,66.686,0.030988,24.066829,-0.437869
735083.197917,1.0,24.066829,66.811,0.030988,24.066829,-0.436966
735083.208333,1.0,24.066829,66.961,0.030988,24.066829,-0.435883
735083.21875,1.0,24.066829,66.901,0.030988,24.066829,-0.436316
735083.229167,1.0,24.066829,66.136,0.030988,24.066829,-0.441843
735083.239583,1.0,24.066829,65.052,0.030988,24.066829,-0.449674
735083.25,1.0,23.980518,63.353,0.030988,23.980518,-0.493682
735083.260417,1.0,23.548963,61.955,0.030988,23.548963,-0.662124
735083.270833,1.0,23.548963,60.522,0.030988,23.548963,-0.67216
735083.28125,1.0,23.376341,59.552,0.030988,23.376341,-0.742128
735083.291667,1.0,23.117408,58.49,0.030988,23.117408,-0.844131
735083.302083,1.0,23.117408,57.526,0.030988,23.117408,-0.850708
735083.3125,1.0,23.031097,56.992,0.030988,23.031097,-0.885844
735083.322917,1.0,22.944786,56.493,0.030988,22.944786,-0.920705
735083.333333,1.0,23.031097,56.02,0.030988,23.031097,-0.892442
735083.34375,1.0,23.031097,55.74,0.030988,23.031097,-0.894342
735083.354167,1.0,23.031097,55.553,0.030988,23.031097,-0.895611
735083.364583,1.0,23.031097,55.18,0.030988,23.031097,-0.898143
735083.375,1.0,23.031097,55.211,0.030988,23.031097,-0.897932
735083.385417,1.0,23.203719,55.443,0.030988,23.203719,-0.833482
735083.395833,1.0,23.203719,55.332,0.030988,23.203719,-0.834244
735083.40625,1.0,23.376341,55.405,0.030988,23.376341,-0.770869
735083.416667,1.0,23.376341,55.322,0.030988,23.376341,-0.771444
735083.427083,1.0,23.376341,55.142,0.030988,23.376341,-0.772691
735083.4375,1.0,23.376341,54.962,0.030988,23.376341,-0.773939
735083.447917,1.0,23.462655,54.875,0.030988,23.462655,-0.743123
735083.458333,1.0,23.376341,54.663,0.030988,23.376341,-0.776011
735083.46875,1.0,23.548963,54.451,0.030988,23.548963,-0.714674
735083.479167,1.0,23.548963,54.201,0.030988,23.548963,-0.716425
735083.489583,1.0,23.635274,53.985,0.030988,23.635274,-0.686552
735083.5,1.0,23.635274,53.86,0.030988,23.635274,-0.687432
735083.510417,1.0,23.548963,53.672,0.030988,23.548963,-0.720129
735083.520833,1.0,23.721585,53.48,0.030988,23.721585,-0.65874
735083.53125,1.0,23.721585,53.382,0.030988,23.721585,-0.659433
735083.541667,1.0,23.721585,53.323,0.030988,23.721585,-0.65985
735083.552083,1.0,23.721585,53.298,0.030988,23.721585,-0.660027
735083.5625,1.0,23.721585,53.343,0.030988,23.721585,-0.659709
735083.572917,1.0,23.894207,53.42,0.030988,23.894207,-0.596436
735083.583333,1.0,23.894207,53.367,0.030988,23.894207,-0.596815
735083.59375,1.0,23.894207,53.122,0.030988,23.894207,-0.598567
735083.604167,1.0,23.807896,52.846,0.030988,23.807896,-0.631883
735083.614583,1.0,23.894207,52.607,0.030988,23.894207,-0.602249
735083.625,1.0,23.894207,52.428,0.030988,23.894207,-0.603529
735083.635417,1.0,23.894207,52.185,0.030988,23.894207,-0.605266
735083.645833,1.0,23.980518,52.002,0.030988,23.980518,-0.575264
735083.65625,1.0,24.066829,51.819,0.030988,24.066829,-0.545277
735083.666667,1.0,24.066829,51.763,0.030988,24.066829,-0.545681
735083.677083,1.0,23.894207,51.643,0.030988,23.894207,-0.609141
735083.6875,1.0,24.066829,51.614,0.030988,24.066829,-0.546758
735083.697917,1.0,23.980518,51.586,0.030988,23.980518,-0.578254
735083.708333,1.0,23.980518,51.589,0.030988,23.980518,-0.578232
735083.71875,1.0,24.066829,51.649,0.030988,24.066829,-0.546505
735083.729167,1.0,23.980518,51.871,0.030988,23.980518,-0.576206
735083.739583,1.0,24.066829,52.31,0.030988,24.066829,-0.541729
735083.75,1.0,24.066829,52.65,0.030988,24.066829,-0.539273
735083.760417,1.0,24.066829,52.868,0.030988,24.066829,-0.537698
735083.770833,1.0,23.894207,52.83,0.030988,23.894207,-0.600654
735083.78125,1.0,23.894207,52.756,0.030988,23.894207,-0.601183
735083.791667,1.0,23.721585,52.778,0.030988,23.721585,-0.663707
735083.802083,1.0,23.721585,52.736,0.030988,23.721585,-0.664004
735083.8125,1.0,23.721585,52.726,0.030988,23.721585,-0.664075
735083.822917,1.0,23.635274,52.685,0.030988,23.635274,-0.695703
735083.833333,1.0,23.376341,52.615,0.030988,23.376341,-0.790204
735083.84375,1.0,23.376341,52.574,0.030988,23.376341,-0.790488
735083.854167,1.0,23.376341,52.497,0.030988,23.376341,-0.791022
735083.864583,1.0,23.376341,52.54,0.030988,23.376341,-0.790724
735083.875,1.0,23.29003,52.65,0.030988,23.29003,-0.8213
735083.885417,1.0,23.376341,52.961,0.030988,23.376341,-0.787806
735083.895833,1.0,23.376341,53.068,0.030988,23.376341,-0.787065
735083.90625,1.0,23.635274,53.553,0.030988,23.635274,-0.689593
735083.916667,1.0,23.721585,54.319,0.030988,23.721585,-0.652803
735083.927083,1.0,23.721585,54.896,0.030988,23.721585,-0.64872
735083.9375,1.0,23.894207,55.594,0.030988,23.894207,-0.580892
735083.947917,1.0,24.066829,56.449,0.030988,24.066829,-0.511827
735083.958333,1.0,24.066829,57.206,0.030988,24.066829,-0.506358
735083.96875,1.0,24.066829,58.023,0.030988,24.066829,-0.500456
735083.979167,1.0,24.066829,58.711,0.030988,24.066829,-0.495485
735083.989583,1.0,24.066829,59.336,0.030988,24.066829,-0.49097
735084.0,1.0,23.980518,59.991,0.030988,23.980518,-0.517846
735084.010417,1.0,24.412071,60.398,0.030988,24.412071,-0.3575
735084.020833,1.0,24.412071,60.775,0.030988,24.412071,-0.354719
735084.03125,1.0,24.412071,61.12,0.030988,24.412071,-0.352175
735084.041667,1.0,24.498384,61.492,0.030988,24.498384,-0.31771
735084.052083,1.0,24.498384,61.833,0.030988,24.498384,-0.315182
735084.0625,1.0,24.584695,62.177,0.030988,24.584695,-0.280885
735084.072917,1.0,24.584695,62.548,0.030988,24.584695,-0.27812
